Year,Decadal_Period,Month_Number,Month_Name,State,Geopolitical_Zone,Broad_Region,Hydrological_Risk_Zone,Monthly_Rainfall_mm,Annual_Rainfall_mm,Rainfall_Anomaly_Pct,Mean_Temperature_C,Temperature_Anomaly_C,Atmospheric_Moisture_Capacity_Index,Off_Season_Rainfall_Flag,Flood_Occurred,Flood_Mechanism,Dam_Water_Release,Total_Deaths,Total_Displaced,Farmland_Submerged_Ha,Economic_Loss_Billion_NGN
1990,1990-2009 (Baseline),4,April,Delta,South South,South,Riverine_Confluence,224.88,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Delta,South South,South,Riverine_Confluence,299.84,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Delta,South South,South,Riverine_Confluence,374.8,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Delta,South South,South,Riverine_Confluence,449.76,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Delta,South South,South,Riverine_Confluence,274.86,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Delta,South South,South,Riverine_Confluence,399.79,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Delta,South South,South,Riverine_Confluence,174.91,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Delta,South South,South,Riverine_Confluence,49.97,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Delta,South South,South,Riverine_Confluence,0.0,2498.69,0.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Edo,South South,South,Riverine_Confluence,21.76,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Edo,South South,South,Riverine_Confluence,65.29,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Edo,South South,South,Riverine_Confluence,130.57,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Edo,South South,South,Riverine_Confluence,195.86,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Edo,South South,South,Riverine_Confluence,261.15,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Edo,South South,South,Riverine_Confluence,326.43,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Edo,South South,South,Riverine_Confluence,391.72,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Edo,South South,South,Riverine_Confluence,239.39,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Edo,South South,South,Riverine_Confluence,348.2,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Edo,South South,South,Riverine_Confluence,152.34,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Edo,South South,South,Riverine_Confluence,43.52,2176.23,1.2,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Edo,South South,South,Riverine_Confluence,0.0,2176.23,0.0,27.55,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Lagos,South West,South,Coastal_Urban,19.64,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Lagos,South West,South,Coastal_Urban,58.93,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Lagos,South West,South,Coastal_Urban,117.85,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Lagos,South West,South,Coastal_Urban,176.78,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Lagos,South West,South,Coastal_Urban,235.7,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Lagos,South West,South,Coastal_Urban,294.63,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Lagos,South West,South,Coastal_Urban,353.56,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Lagos,South West,South,Coastal_Urban,216.06,1964.2,4.5,27.53,0.034,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Lagos,South West,South,Coastal_Urban,314.27,1964.2,4.5,27.53,0.034,1.003,0,1,Localized_Flash,0,3,1146,320,1.61
1990,1990-2009 (Baseline),10,October,Lagos,South West,South,Coastal_Urban,137.49,1964.2,4.5,27.53,0.034,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Lagos,South West,South,Coastal_Urban,39.28,1964.2,4.5,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Lagos,South West,South,Coastal_Urban,0.0,1964.2,0.0,27.53,0.034,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Ogun,South West,South,Coastal_Urban,15.75,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Ogun,South West,South,Coastal_Urban,47.26,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Ogun,South West,South,Coastal_Urban,94.51,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Ogun,South West,South,Coastal_Urban,141.77,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Ogun,South West,South,Coastal_Urban,189.02,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Ogun,South West,South,Coastal_Urban,236.28,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Ogun,South West,South,Coastal_Urban,283.54,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Ogun,South West,South,Coastal_Urban,173.27,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Ogun,South West,South,Coastal_Urban,252.03,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Ogun,South West,South,Coastal_Urban,110.26,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Ogun,South West,South,Coastal_Urban,31.5,1575.2,-0.3,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Ogun,South West,South,Coastal_Urban,0.0,1575.2,0.0,27.21,-0.092,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Ondo,South West,South,Riverine_Confluence,17.47,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Ondo,South West,South,Riverine_Confluence,52.41,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Ondo,South West,South,Riverine_Confluence,104.81,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Ondo,South West,South,Riverine_Confluence,157.22,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Ondo,South West,South,Riverine_Confluence,209.63,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Ondo,South West,South,Riverine_Confluence,262.03,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Ondo,South West,South,Riverine_Confluence,314.44,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Ondo,South West,South,Riverine_Confluence,192.16,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Ondo,South West,South,Riverine_Confluence,279.5,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Ondo,South West,South,Riverine_Confluence,122.28,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Ondo,South West,South,Riverine_Confluence,34.94,1746.89,1.6,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Ondo,South West,South,Riverine_Confluence,0.0,1746.89,0.0,27.23,0.128,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Osun,South West,South,Inland_Savanna,14.34,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Osun,South West,South,Inland_Savanna,43.03,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Osun,South West,South,Inland_Savanna,86.05,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Osun,South West,South,Inland_Savanna,129.08,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Osun,South West,South,Inland_Savanna,172.11,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Osun,South West,South,Inland_Savanna,215.13,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Osun,South West,South,Inland_Savanna,258.16,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Osun,South West,South,Inland_Savanna,157.77,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Osun,South West,South,Inland_Savanna,229.48,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Osun,South West,South,Inland_Savanna,100.4,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Osun,South West,South,Inland_Savanna,28.68,1434.23,1.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Osun,South West,South,Inland_Savanna,0.0,1434.23,0.0,27.13,0.129,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Oyo,South West,South,Inland_Savanna,13.34,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Oyo,South West,South,Inland_Savanna,40.03,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Oyo,South West,South,Inland_Savanna,80.05,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Oyo,South West,South,Inland_Savanna,120.08,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Oyo,South West,South,Inland_Savanna,160.1,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Oyo,South West,South,Inland_Savanna,200.13,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Oyo,South West,South,Inland_Savanna,240.16,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Oyo,South West,South,Inland_Savanna,146.76,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Oyo,South West,South,Inland_Savanna,213.47,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Oyo,South West,South,Inland_Savanna,93.39,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Oyo,South West,South,Inland_Savanna,26.68,1334.2,1.1,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Oyo,South West,South,Inland_Savanna,0.0,1334.2,0.0,27.28,0.076,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Ekiti,South West,South,Inland_Savanna,15.43,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Ekiti,South West,South,Inland_Savanna,46.3,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Ekiti,South West,South,Inland_Savanna,92.6,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Ekiti,South West,South,Inland_Savanna,138.89,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Ekiti,South West,South,Inland_Savanna,185.19,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Ekiti,South West,South,Inland_Savanna,231.49,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Ekiti,South West,South,Inland_Savanna,277.78,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Ekiti,South West,South,Inland_Savanna,169.76,1543.25,4.3,26.75,-0.047,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Ekiti,South West,South,Inland_Savanna,246.92,1543.25,4.3,26.75,-0.047,1.003,0,1,Localized_Flash,0,2,3277,1879,3.02
1990,1990-2009 (Baseline),10,October,Ekiti,South West,South,Inland_Savanna,108.03,1543.25,4.3,26.75,-0.047,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Ekiti,South West,South,Inland_Savanna,30.86,1543.25,4.3,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Ekiti,South West,South,Inland_Savanna,0.0,1543.25,0.0,26.75,-0.047,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Abia,South East,South,Inland_Savanna,23.75,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Abia,South East,South,Inland_Savanna,71.25,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Abia,South East,South,Inland_Savanna,142.51,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Abia,South East,South,Inland_Savanna,213.76,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Abia,South East,South,Inland_Savanna,285.02,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Abia,South East,South,Inland_Savanna,356.27,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Abia,South East,South,Inland_Savanna,427.52,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Abia,South East,South,Inland_Savanna,261.26,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Abia,South East,South,Inland_Savanna,380.02,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Abia,South East,South,Inland_Savanna,166.26,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Abia,South East,South,Inland_Savanna,47.5,2375.13,7.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Abia,South East,South,Inland_Savanna,0.0,2375.13,0.0,27.22,0.025,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Anambra,South East,South,Riverine_Confluence,21.18,2117.75,1.8,27.28,-0.021,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Anambra,South East,South,Riverine_Confluence,63.53,2117.75,1.8,27.28,-0.021,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Anambra,South East,South,Riverine_Confluence,127.06,2117.75,1.8,27.28,-0.021,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Anambra,South East,South,Riverine_Confluence,190.6,2117.75,1.8,27.28,-0.021,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Anambra,South East,South,Riverine_Confluence,254.13,2117.75,1.8,27.28,-0.021,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Anambra,South East,South,Riverine_Confluence,317.66,2117.75,1.8,27.28,-0.021,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Anambra,South East,South,Riverine_Confluence,381.2,2117.75,1.8,27.28,-0.021,1.003,0,0,None,0,0,0,0,0.0
